20-24	40.7503509521	-73.9908599854	17081.644843131
20-24	40.7695770264	-73.8631439209	16813.703948679
20-24	40.7736968994	-73.872756958	13372.152860801
20-24	40.6446075439	-73.782119751	12024.116384614
20-24	40.7517242432	-73.9936065674	10512.944589048
20-24	40.7723236084	-73.9826202393	9676.501851927
20-24	40.7736968994	-73.871383667	8970.015250144
20-24	40.7682037354	-73.9826202393	8099.782615549
20-24	40.740737915	-74.0059661865	7974.678632987001
20-24	40.7503509521	-73.9949798584	7702.028319856
20-24	40.7476043701	-73.9853668213	7676.276626551
20-24	40.7421112061	-74.0045928955	7559.835168381
20-24	40.7489776611	-73.9922332764	7251.322735143
20-24	40.7558441162	-73.9908599854	7231.566501194
20-24	40.7572174072	-73.9894866943	7187.813550175
20-24	40.7489776611	-73.9881134033	7160.811212972001
20-24	40.737991333	-73.9881134033	7034.090635734001
20-24	40.740737915	-74.0073394775	6141.552085511001
20-24	40.73387146	-74.0032196045	6129.125750289
20-24	40.7434844971	-73.9839935303	6106.600627409
20-24	40.7613372803	-73.9867401123	5710.553934021001
20-24	40.7270050049	-73.9853668213	5641.342337287
20-24	40.7503509521	-73.9922332764	5619.260763208
20-24	40.7256317139	-73.9922332764	5601.719014829
20-24	40.7558441162	-73.9675140381	5272.718576458999
20-24	40.7709503174	-73.9826202393	5183.819507403
20-24	40.7544708252	-73.9688873291	5044.638214824
20-24	40.645980835	-73.7766265869	5002.685462343001
20-24	40.7297515869	-73.9894866943	4985.428869850999
20-24	40.7324981689	-74.0032196045	4978.780385664
20-24	40.7736968994	-73.9826202393	4883.075259593
20-24	40.7736968994	-73.874130249	4878.571391807
20-24	40.7311248779	-74.0018463135	4849.213778692
20-24	40.73387146	-73.9990997314	4776.82233094
20-24	40.7228851318	-73.9881134033	4750.7918535670005
20-24	40.7599639893	-73.9881134033	4740.135602328999
20-24	40.7297515869	-74.0018463135	4733.814250173999
20-24	40.7421112061	-73.9936065674	4730.0918799890005
20-24	40.6432342529	-73.7903594971	4711.584160735
20-24	40.7517242432	-73.9757537842	4679.252419807
20-24	40.7448577881	-73.9785003662	4666.032115052
20-24	40.739364624	-73.9867401123	4642.288748096999
20-24	40.7640838623	-73.9771270752	4616.230072036999
20-24	40.7448577881	-73.9908599854	4577.69268814
20-24	40.7324981689	-73.9881134033	4574.246818213
20-24	40.7585906982	-73.9894866943	4563.927066206
20-24	40.7215118408	-73.9977264404	4528.730660073
20-24	40.7572174072	-73.9826202393	4457.604431606
20-24	40.7146453857	-74.0155792236	4436.9031584290005
20-24	40.7215118408	-73.9936065674	4430.59421152
20-24	40.7530975342	-73.9785003662	4427.018133595
20-24	40.73387146	-73.9894866943	4410.201932363
20-24	40.739364624	-74.0059661865	4393.700368637999
20-24	40.7640838623	-73.9881134033	4380.721421519
20-24	40.7462310791	-73.9936065674	4379.862968738001
20-24	40.7517242432	-73.9785003662	4365.459785406
20-24	40.7613372803	-73.9839935303	4358.027653175999
20-24	40.7517242432	-73.9771270752	4349.950374848
20-24	40.7640838623	-73.9730072021	4336.542760237
20-24	40.7627105713	-73.9826202393	4318.829972673
20-24	40.7311248779	-73.9826202393	4316.493561043
20-24	40.7434844971	-73.9922332764	4309.873272589
20-24	40.7572174072	-73.9716339111	4300.510721105
20-24	40.7654571533	-73.9798736572	4282.523066512
20-24	40.7558441162	-73.9867401123	4281.661945187001
20-24	40.7256317139	-73.9949798584	4255.040868317001
20-24	40.7311248779	-74.0004730225	4205.482943954999
20-24	40.7599639893	-73.9839935303	4156.372767711001
20-24	40.7585906982	-73.9922332764	4150.154058575999
20-24	40.7640838623	-73.9812469482	4142.140664365999
20-24	40.7682037354	-73.9812469482	4112.242156336
20-24	40.7613372803	-73.9908599854	4106.585592287
20-24	40.648727417	-73.783493042	4075.5784260009996
20-24	40.7242584229	-73.9922332764	4073.9308966850003
20-24	40.7421112061	-73.9894866943	4055.521363727
20-24	40.7627105713	-73.9785003662	4017.7934982709994
20-24	40.7434844971	-73.9881134033	4012.5810434040004
20-24	40.7503509521	-73.9867401123	4011.8384539020003
