00	8366.122618322788
01	21817.22269936106
02	21575.923192732153
03	11520.366408447333
04	21972.987766121347
05	11926.749201345647
06	17111.296644779064
07	15099.90676544063
08	23368.19150848495
09	13520.022843727358
10	12953.815361605162
11	9524.227868731063
12	38842.28193771899
13	21351.123177488822
14	17055.8356992231
15	31254.055734636964
16	12375.277215813629
17	19510.308255875607
18	24292.36060608573
19	21083.787585629987
20	25781.79245189953
21	35682.82634079273
22	22774.84988398402
23	17056.465042989996
