12-16,40.7695770264,-73.8631439209,17352.485096036
12-16,40.7736968994,-73.872756958,12310.736574001
12-16,40.7503509521,-73.9908599854,11578.185448105
12-16,40.6446075439,-73.782119751,10698.521263949999
12-16,40.7517242432,-73.9936065674,10541.928173182
12-16,40.7736968994,-73.871383667,9984.167259184
12-16,40.7791900635,-73.962020874,8610.081313712999
12-16,40.7682037354,-73.9826202393,7893.991846859
12-16,40.7558441162,-73.9908599854,6837.94302947
12-16,40.7489776611,-73.9922332764,6820.137869599001
12-16,40.7503509521,-73.9922332764,6784.423406188999
12-16,40.7805633545,-73.9812469482,6572.604077018001
12-16,40.7627105713,-73.9743804932,6329.133448615
12-16,40.7503509521,-73.9949798584,5922.267579746
12-16,40.7627105713,-73.9785003662,5886.311751177999
12-16,40.7640838623,-73.9730072021,5835.396190328
12-16,40.7791900635,-73.9537811279,5450.192251300001
12-16,40.7627105713,-73.9675140381,5432.530973854
12-16,40.7530975342,-73.9785003662,5427.614088339001
12-16,40.7585906982,-73.9771270752,5320.12356902
12-16,40.7640838623,-73.9688873291,5288.061229285
12-16,40.7668304443,-73.9537811279,5223.193543939
12-16,40.7517242432,-73.9757537842,5196.9229004240005
12-16,40.7791900635,-73.9551544189,5066.188632007
12-16,40.7517242432,-73.9785003662,4904.821712723
12-16,40.7517242432,-73.9771270752,4892.135722711
12-16,40.7503509521,-73.9936065674,4818.911605632999
12-16,40.7654571533,-73.9551544189,4806.406740999
12-16,40.7640838623,-73.9771270752,4742.586383651
12-16,40.7613372803,-73.9688873291,4669.260535592999
12-16,40.7146453857,-74.0155792236,4556.521399514
12-16,40.7572174072,-73.9894866943,4475.953277553999
12-16,40.7627105713,-73.9826202393,4362.187550447
12-16,40.7640838623,-73.9743804932,4271.265373449
12-16,40.739364624,-73.9949798584,4263.684991254
12-16,40.645980835,-73.7766265869,4252.543841255
12-16,40.7489776611,-73.9881134033,4194.309857865001
12-16,40.7421112061,-74.0045928955,4148.076888632
12-16,40.740737915,-73.9949798584,4116.957084439
12-16,40.7421112061,-73.9936065674,4091.5183522190005
12-16,40.7682037354,-73.9812469482,4083.3883241609997
12-16,40.7599639893,-73.9757537842,4058.764264843
12-16,40.737991333,-73.9922332764,4025.805142931
12-16,40.6432342529,-73.7903594971,3980.0525332080006
12-16,40.7558441162,-73.9743804932,3928.576313263
12-16,40.7434844971,-73.9839935303,3922.33903995
12-16,40.7476043701,-73.9853668213,3920.525033833
12-16,40.7627105713,-73.9661407471,3896.1886173260004
12-16,40.7572174072,-73.9785003662,3890.058512265
12-16,40.7682037354,-73.8631439209,3875.17139507
12-16,40.7613372803,-73.9661407471,3862.952519329
12-16,40.7558441162,-73.9730072021,3849.868981809
12-16,40.7572174072,-73.9743804932,3848.8533278000004
12-16,40.7833099365,-73.9551544189,3832.51440334
12-16,40.7750701904,-73.9826202393,3740.34925596
12-16,40.7668304443,-73.9826202393,3729.0882486359997
12-16,40.7503509521,-73.9743804932,3719.021423123
12-16,40.7627105713,-73.9702606201,3683.781808477999
12-16,40.7421112061,-73.9894866943,3663.409215956
12-16,40.7778167725,-73.9524078369,3643.4440071889994
12-16,40.7695770264,-73.960647583,3621.731513103
12-16,40.7764434814,-73.962020874,3612.154142116
12-16,40.7558441162,-73.9757537842,3609.6409053
12-16,40.7421112061,-73.9743804932,3603.2771085299996
12-16,40.7132720947,-74.0142059326,3601.8919418150003
12-16,40.7585906982,-73.9730072021,3592.701449624
12-16,40.7613372803,-73.9798736572,3569.351658116
12-16,40.7736968994,-73.874130249,3559.7113026889997
12-16,40.7434844971,-73.9922332764,3502.8667044820004
