hour,latitude,longitude,weight
16-20,40.7434844971,-73.9922332764,4237.8005190330005
16-20,40.7736968994,-73.874130249,4227.449075578
16-20,40.645980835,-73.7766265869,4218.006978796
16-20,40.737991333,-73.9922332764,4163.546489864
16-20,40.7613372803,-73.9867401123,4088.8281877889995
16-20,40.737991333,-73.9881134033,4079.1453192440003
16-20,40.7627105713,-73.9702606201,4063.7588055859997
16-20,40.740737915,-73.9949798584,4056.0068003220003
16-20,40.7572174072,-73.9894866943,4055.9581330579995
16-20,40.7654571533,-73.9798736572,4022.41197566
16-20,40.7668304443,-73.9826202393,4022.267072681
16-20,40.73387146,-73.9894866943,4002.2297854659996
16-20,40.739364624,-73.9949798584,3992.1365377089996
16-20,40.7503509521,-73.9743804932,3971.590663158
16-20,40.7750701904,-73.9826202393,3946.2057573149996
16-20,40.7572174072,-73.9743804932,3907.783947513
16-20,40.7050323486,-74.0073394775,3905.1041168399997
16-20,40.7723236084,-73.9826202393,3835.410014659
16-20,40.739364624,-73.9867401123,3822.0862418488
16-20,40.7682037354,-73.8631439209,3799.9885336740003
16-20,40.7544708252,-73.9688873291,3772.3328091930007
16-20,40.7585906982,-73.9702606201,3768.9858065890003
16-20,40.7599639893,-73.9647674561,3754.971819855
16-20,40.647354126,-73.7903594971,3747.7954591969997
16-20,40.6432342529,-73.7903594971,3743.5783938869995
16-20,40.7654571533,-73.9551544189,3712.4472155129997
16-20,40.7476043701,-73.9853668213,3711.6143314250003
16-20,40.7503509521,-73.9936065674,3703.270593954
16-20,40.7489776611,-73.9757537842,3699.897795225
16-20,40.736618042,-73.9894866943,3699.310979985
16-20,40.7558441162,-73.9743804932,3693.4454669960005
16-20,40.7599639893,-73.9716339111,3656.304731564
16-20,40.7558441162,-73.9675140381,3644.577322179
16-20,40.7640838623,-73.9743804932,3618.021878339
16-20,40.7778167725,-73.9524078369,3581.19079324
16-20,40.7613372803,-73.9702606201,3578.4072422039994
16-20,40.7791900635,-73.9812469482,3567.4692841970004
16-20,40.7709503174,-73.9826202393,3565.6807112439997
16-20,40.7736968994,-73.9826202393,3562.8972788290002
16-20,40.7613372803,-73.9798736572,3561.7928287839995
16-20,40.7517242432,-73.9743804932,3539.6333783170003
16-20,40.7585906982,-73.9730072021,3535.646166935
16-20,40.7503509521,-73.9771270752,3531.43875967
16-20,40.7585906982,-73.9771270752,3500.689727678
16-20,40.7599639893,-73.9702606201,3500.322344863
16-20,40.7585906982,-73.9661407471,3453.6935080509998
16-20,40.7421112061,-73.9853668213,3450.945917432
16-20,40.7421112061,-73.9894866943,3435.722908019
16-20,40.7627105713,-73.9688873291,3410.4892862469997
16-20,40.7750701904,-73.963394165,3373.6219177519997
16-20,40.7585906982,-73.9716339111,3370.9969978830004
16-20,40.7256317139,-73.9963531494,3370.138493799
16-20,40.7448577881,-73.9908599854,3369.2836542669997
16-20,40.7572174072,-73.9826202393,3359.336213346
16-20,40.7585906982,-73.9812469482,3356.667295276
16-20,40.740737915,-74.0073394775,3322.8580060189997
16-20,40.739364624,-73.9908599854,3315.261611079
16-20,40.7599639893,-74.0032196045,3312.4482908150003
16-20,40.7599639893,-73.9757537842,3307.7437114880004
16-20,40.7448577881,-73.9949798584,3281.845601902
16-20,40.7558441162,-73.9716339111,3230.6068459939997
16-20,40.735244751,-73.9894866943,3216.317347423
16-20,40.7695770264,-73.960647583,3176.2826724779998
16-20,40.648727417,-73.783493042,3161.349652541
16-20,40.7682037354,-73.9853668213,3155.913813273
16-20,40.7613372803,-73.960647583,3153.4661134079997
16-20,40.7613372803,-73.9826202393,3151.049455323
16-20,40.740737915,-74.0018463135,3144.306303304
16-20,40.7462310791,-73.9936065674,3135.4228068700004
16-20,40.7613372803,-73.9661407471,3128.2729481220003
16-20,40.7421112061,-73.9743804932,3124.692110848
16-20,40.7503509521,-73.9785003662,3091.7460814859996
16-20,40.7503509521,-73.9716339111,3080.667933968
16-20,40.7736968994,-73.9812469482,3066.755626759
16-20,40.7599639893,-73.9812469482,3060.1378181030004
16-20,40.7640838623,-73.9826202393,3052.803175111
16-20,40.7613372803,-73.9785003662,3049.6792021769998
16-20,40.7942962646,-73.9661407471,3033.4515681579996
16-20,40.7819366455,-73.9812469482,3029.7376057479996
16-20,40.73387146,-73.9990997314,2995.2623292359995
16-20,40.7654571533,-73.9812469482,2989.60790876
16-20,40.7640838623,-73.9702606201,2938.305604131
16-20,40.7530975342,-73.9730072021,2925.0551638099996
16-20,40.7778167725,-73.9785003662,2924.859644442
16-20,40.7572174072,-73.9730072021,2924.6938273690002
16-20,40.7256317139,-73.9949798584,2901.5831351330003
16-20,40.7434844971,-74.0073394775,2887.94009318
16-20,40.7503509521,-73.9881134033,2887.292914253
16-20,40.7654571533,-73.9757537842,2881.973658804
16-20,40.7544708252,-73.9716339111,2874.840700136
16-20,40.740737915,-73.9853668213,2868.2846424629997
16-20,40.7476043701,-73.9894866943,2853.5038210029998
16-20,40.7448577881,-73.9757537842,2852.673640397
16-20,40.7736968994,-73.9551544189,2824.122947113
16-20,40.7613372803,-73.9757537842,2817.3954914710002
16-20,40.7654571533,-73.9839935303,2808.582723524
16-20,40.736618042,-73.9881134033,2799.307511389
16-20,40.7530975342,-73.9702606201,2791.963612083
16-20,40.7503509521,-74.0059661865,2786.590852726
16-20,40.7311248779,-73.9826202393,2786.4820667550002
16-20,40.7558441162,-73.9867401123,2767.5685195099995
16-20,40.7860565186,-73.9785003662,2763.5943436470006
16-20,40.7448577881,-73.9785003662,2762.9851403373004
16-20,40.7132720947,-74.0142059326,2762.733402148
16-20,40.7654571533,-73.9826202393,2755.751103537
16-20,40.7695770264,-73.8645172119,2746.273598803
16-20,40.7544708252,-73.9771270752,2741.24783331
16-20,40.7627105713,-73.9812469482,2727.4450080799998
16-20,40.7585906982,-73.9894866943,2714.146890577
16-20,40.7599639893,-73.9853668213,2712.445216642
16-20,40.7572174072,-73.9675140381,2707.5042636282
16-20,40.737991333,-73.9963531494,2696.1242001379997
16-20,40.7709503174,-73.95652771,2688.230634673
16-20,40.7585906982,-73.9853668213,2676.497867355
16-20,40.7599639893,-73.9798736572,2667.395197983
16-20,40.7558441162,-73.9757537842,2665.2148772400005
16-20,40.7544708252,-73.9922332764,2658.2426900110004
16-20,40.7434844971,-73.9881134033,2657.218809324
16-20,40.7613372803,-73.9716339111,2651.140281633
16-20,40.7640838623,-73.9785003662,2646.944438015
16-20,40.7558441162,-73.9826202393,2610.799300066
16-20,40.7476043701,-73.9936065674,2605.295973703
16-20,40.7695770264,-73.9826202393,2595.4981393380003
16-20,40.7613372803,-73.9743804932,2593.994242336
16-20,40.7640838623,-73.9551544189,2592.8493959770003
16-20,40.736618042,-73.9785003662,2591.025150625
16-20,40.7874298096,-73.9771270752,2588.379087583
16-20,40.7613372803,-73.9839935303,2575.545428541
16-20,40.7503509521,-73.9867401123,2572.9400127129993
16-20,40.7764434814,-73.962020874,2572.911837939
16-20,40.737991333,-73.9839935303,2570.4415288753
16-20,40.7599639893,-73.9881134033,2556.4066244600003
16-20,40.7544708252,-73.9798736572,2546.80665172
16-20,40.7668304443,-73.95652771,2535.384484797
16-20,40.73387146,-73.9867401123,2531.2819698599997
16-20,40.7476043701,-74.0045928955,2523.254133898
16-20,40.7654571533,-73.963394165,2516.428845118
16-20,40.7530975342,-73.9743804932,2515.4388840939
16-20,40.7778167725,-73.9826202393,2507.355346446
16-20,40.7599639893,-73.9839935303,2504.492420481
16-20,40.7558441162,-73.9702606201,2503.9165950708
16-20,40.7489776611,-74.0032196045,2499.2523271299997
16-20,40.7462310791,-73.9839935303,2493.1615603540004
16-20,40.7448577881,-73.9853668213,2490.3881946720003
16-20,40.7215118408,-73.9977264404,2487.899272663
16-20,40.739364624,-73.9826202393,2486.4702055917005
16-20,40.7750701904,-73.9537811279,2470.694929619
16-20,40.7517242432,-73.9908599854,2469.9591500770002
16-20,40.7654571533,-73.9661407471,2459.212217175
16-20,40.7530975342,-73.9853668213,2456.57568215
16-20,40.7448577881,-73.9826202393,2454.53153088
16-20,40.7077789307,-74.0045928955,2442.7945322309997
16-20,40.7654571533,-73.957901001,2440.098479164
16-20,40.7723236084,-73.9524078369,2437.846343372
16-20,40.7530975342,-73.9771270752,2430.189710253
16-20,40.7022857666,-74.0128326416,2424.378994825
16-20,40.7640838623,-73.9647674561,2419.2478742860003
16-20,40.740737915,-73.9867401123,2409.721470693
16-20,40.7064056396,-74.0059661865,2409.177498252
16-20,40.7201385498,-74.0100860596,2403.842575891
16-20,40.7805633545,-73.95652771,2402.043806658
16-20,40.7942962646,-73.9716339111,2400.526599892
16-20,40.739364624,-74.0059661865,2391.988728939
16-20,40.73387146,-73.9908599854,2391.541698598
16-20,40.7805633545,-73.959274292,2387.045183509
16-20,40.7476043701,-73.9812469482,2381.4557562749997
16-20,40.7736968994,-73.959274292,2372.933948099
