hour,latitude,longitude,weight
0-4,40.74073792,-74.00596619,4914.82301
0-4,40.64460754,-73.78211975,4562.923366
0-4,40.72151184,-73.9881134,3928.081278
0-4,40.74211121,-74.0045929,3648.052183
0-4,40.74073792,-74.00733948,3568.913758
0-4,40.73936462,-74.00596619,3299.99093
0-4,40.72013855,-73.9881134,3285.305279
0-4,40.71876526,-73.9881134,3135.292529
0-4,40.73936462,-74.00184631,3009.444403
0-4,40.73387146,-74.0032196,2743.91151
0-4,40.76271057,-73.97163391,2520.722804
0-4,40.74073792,-74.00871277,2503.743143
0-4,40.72288513,-73.9881134,2470.386159
0-4,40.71876526,-73.98948669,2317.993975
0-4,40.74760437,-73.98536682,2314.542301
0-4,40.72151184,-73.99360657,2313.158156
0-4,40.72013855,-74.0045929,2301.906021
0-4,40.73112488,-74.00047302,2290.007594
0-4,40.72975159,-74.00047302,2234.022978
0-4,40.7434845,-74.00733948,2228.40965
0-4,40.727005,-73.99223328,2141.274521
0-4,40.71876526,-74.0045929,2131.503468
0-4,40.74211121,-74.0032196,2072.841872
0-4,40.75584412,-73.96751404,2023.474785
0-4,40.7736969,-73.87275696,1955.073654
0-4,40.72563171,-73.99223328,1944.786292
0-4,40.73249817,-73.9881134,1892.398007
0-4,40.73112488,-74.00184631,1887.027773
0-4,40.74760437,-73.98674011,1876.815849
0-4,40.74897766,-73.9881134,1874.848935
0-4,40.73387146,-74.00184631,1853.093937
0-4,40.76271057,-73.98262024,1840.229584
0-4,40.7283783,-73.99909973,1817.43688
0-4,40.72013855,-73.99360657,1800.95994
0-4,40.76408386,-73.98262024,1776.065208
0-4,40.75721741,-73.96751404,1739.118782
0-4,40.75721741,-73.98948669,1681.523849
0-4,40.73249817,-74.0032196,1678.263439
0-4,40.72288513,-73.98674011,1672.819138
0-4,40.76408386,-73.98124695,1671.610577
0-4,40.74073792,-74.0045929,1642.578859
0-4,40.72151184,-73.99223328,1640.346502
0-4,40.7283783,-74.00047302,1620.077389
0-4,40.72151184,-73.98674011,1598.738195
0-4,40.72975159,-73.98948669,1569.237869
0-4,40.76408386,-73.98674011,1558.742915
0-4,40.72013855,-73.98948669,1546.19959
0-4,40.74760437,-73.9881134,1544.229374
0-4,40.76820374,-73.98262024,1537.436942
0-4,40.75172424,-74.0045929,1492.116289
0-4,40.75996399,-73.9881134,1480.299907
0-4,40.72013855,-73.98674011,1463.385246
0-4,40.7434845,-73.98399353,1461.5154
0-4,40.73249817,-74.00047302,1447.28152
0-4,40.75996399,-73.98674011,1441.871609
0-4,40.7585907,-73.98948669,1438.553958
0-4,40.75996399,-73.98399353,1431.852568
0-4,40.76408386,-73.9881134,1430.347168
0-4,40.75584412,-73.98674011,1427.22308
0-4,40.73249817,-73.98536682,1425.706105
0-4,40.76133728,-73.98674011,1414.802972
0-4,40.74897766,-73.98674011,1413.776351
0-4,40.72151184,-73.99772644,1403.325117
0-4,40.75721741,-73.96888733,1401.195774
0-4,40.72151184,-74.0045929,1387.230189
0-4,40.7434845,-74.00596619,1381.182624
0-4,40.7736969,-73.87138367,1378.420823
0-4,40.75996399,-73.98536682,1377.705785
0-4,40.72425842,-73.99223328,1375.724114
0-4,40.72563171,-73.98399353,1372.77444
0-4,40.727005,-73.99360657,1372.501099
0-4,40.74211121,-74.00596619,1371.647504
0-4,40.7585907,-73.96888733,1359.823219
0-4,40.74485779,-73.98124695,1349.141787
0-4,40.71876526,-73.98674011,1349.126869
0-4,40.74485779,-73.97850037,1336.835493
0-4,40.64598084,-73.77662659,1333.271266
0-4,40.79429626,-73.97163391,1330.461162
0-4,40.76133728,-73.98399353,1328.485524
0-4,40.75721741,-73.97163391,1327.857253
0-4,40.73249817,-73.98674011,1313.029604
0-4,40.76408386,-73.9730072,1297.28559
0-4,40.74623108,-73.97850037,1290.038558
0-4,40.75996399,-73.98948669,1286.025309
0-4,40.76408386,-73.97438049,1284.023931
0-4,40.75584412,-73.96888733,1278.402908
0-4,40.74485779,-73.9881134,1277.993444
0-4,40.74897766,-73.98536682,1271.143516
0-4,40.72563171,-73.99497986,1268.384375
0-4,40.73112488,-73.9881134,1256.462877
0-4,40.72975159,-73.98674011,1255.150844
0-4,40.72151184,-73.99497986,1253.646301
0-4,40.73936462,-74.0032196,1248.037715
0-4,40.727005,-73.98536682,1242.593985
0-4,40.74211121,-73.98536682,1233.959819
0-4,40.72013855,-73.99223328,1230.249565
0-4,40.75721741,-73.97026062,1229.990604
0-4,40.74485779,-74.00733948,1215.042071
0-4,40.75584412,-73.98399353,1211.577801
0-4,40.7283783,-73.98536682,1211.110289
0-4,40.72975159,-73.9881134,1209.082021
0-4,40.73799133,-73.98536682,1203.382937
0-4,40.72151184,-73.98948669,1196.723985
0-4,40.76271057,-73.97850037,1193.695719
0-4,40.75447083,-73.96888733,1192.886357
